Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"AI support for data scientists: An empirical study on workflow and alternative code recommendations","AI-based coding assistants can help data scientists complete data science tasks, with a significant difference in acceptance and usefulness between descriptive and predictive tasks.","Dhivyabharathi Ramasamy, Cristina Sarasua, Abraham Bernstein",2025,0,"Despite the popularity of AI assistants for coding activities, there is limited empirical work on whether these coding assistants can help users complete data science tasks. Moreover, in data science programming, exploring alternative paths has been widely advocated, as such paths may lead to diverse understandings and conclusions (Gelman and Loken 2013; Kale et al. 2019). Whether existing AI-based coding assistants can support data scientists in exploring the relevant alternative paths remains unexplored. To fill this gap, we conducted a mixed-methods study to understand how data scientists solved different data science tasks with the help of an AI-based coding assistant that provides explicit alternatives as recommendations throughout the data science workflow. Specifically, we quantitatively investigated whether the users accept the code recommendations, including alternative recommendations, by the AI assistant and whether the recommendations are helpful when completing descriptive and predictive data science tasks. Through the empirical study, we also investigated if including information about the data science step (e.g., data exploration) they seek recommendations for in a prompt leads to helpful recommendations. In our study, we found that including the data science step in a prompt had a statistically significant improvement in the acceptance of recommendations, whereas the presence of alternatives did not lead to any significant differences. Our study also shows a statistically significant difference in the acceptance and usefulness of recommendations between descriptive and predictive tasks. Participants generally had positive sentiments regarding AI assistance and our proposed interface. We share further insights on the interactions that emerged during the study and the challenges that our users encountered while solving their data science tasks. The online version contains supplementary material available at 10.1007/s10664-025-10622-4.","non-rct experimental","Empirical Software Engineering","1","10.1007/s10664-025-10622-4","https://consensus.app/papers/ai-support-for-data-scientists-an-empirical-study-on-ramasamy-sarasua/0951a0d5f81d53d8a09d02453b2a3594/"
"Data-Copilot: Bridging Billions of Data and Humans with Autonomous Workflow","Data-Copilot is a data analysis agent that autonomously processes and visualizes massive data tailored to diverse human requests, reducing errors and improving efficiency.","Wenqi Zhang, Yongliang Shen, Weiming Lu, Y. Zhuang",2023,73,"Industries such as finance, meteorology, and energy generate vast amounts of data daily. Efficiently managing, processing, and displaying this data requires specialized expertise and is often tedious and repetitive. Leveraging large language models (LLMs) to develop an automated workflow presents a highly promising solution. However, LLMs are not adept at handling complex numerical computations and table manipulations and are also constrained by a limited context budget. Based on this, we propose Data-Copilot, a data analysis agent that autonomously performs querying, processing, and visualization of massive data tailored to diverse human requests. The advancements are twofold: First, it is a code-centric agent that receives human requests and generates code as an intermediary to handle massive data, which is quite flexible for large-scale data processing tasks. Second, Data-Copilot involves a data exploration phase in advance, which explores how to design more universal and error-free interfaces for real-time response. Specifically, it actively explores data sources, discovers numerous common requests, and abstracts them into many universal interfaces for daily invocation. When deployed in real-time requests, Data-Copilot only needs to invoke these pre-designed interfaces, transforming raw data into visualized outputs (e.g., charts, tables) that best match the user's intent. Compared to generating code from scratch, invoking these pre-designed and compiler-validated interfaces can significantly reduce errors during real-time requests. Additionally, interface workflows are more efficient and offer greater interpretability than code. We open-sourced Data-Copilot with massive Chinese financial data, such as stocks, funds, and news, demonstrating promising application prospects.","","ArXiv","","10.48550/arxiv.2306.07209","https://consensus.app/papers/datacopilot-bridging-billions-of-data-and-humans-with-zhang-shen/02d65ba00d9259668bcaa53cbe65d80b/"
"The Role of ChatGPT in Data Science: How AI-Assisted Conversational Interfaces Are Revolutionizing the Field","ChatGPT can enhance productivity and accuracy in data science workflows by automating various tasks and providing new insights, but may not perform well on certain tasks unless specifically trained for them.","Hossein Hassani, E. Silva",2023,311,"ChatGPT, a conversational AI interface that utilizes natural language processing and machine learning algorithms, is taking the world by storm and is the buzzword across many sectors today. Given the likely impact of this model on data science, through this perspective article, we seek to provide an overview of the potential opportunities and challenges associated with using ChatGPT in data science, provide readers with a snapshot of its advantages, and stimulate interest in its use for data science projects. The paper discusses how ChatGPT can assist data scientists in automating various aspects of their workflow, including data cleaning and preprocessing, model training, and result interpretation. It also highlights how ChatGPT has the potential to provide new insights and improve decision-making processes by analyzing unstructured data. We then examine the advantages of ChatGPT’s architecture, including its ability to be fine-tuned for a wide range of language-related tasks and generate synthetic data. Limitations and issues are also addressed, particularly around concerns about bias and plagiarism when using ChatGPT. Overall, the paper concludes that the benefits outweigh the costs and ChatGPT has the potential to greatly enhance the productivity and accuracy of data science workflows and is likely to become an increasingly important tool for intelligence augmentation in the field of data science. ChatGPT can assist with a wide range of natural language processing tasks in data science, including language translation, sentiment analysis, and text classification. However, while ChatGPT can save time and resources compared to training a model from scratch, and can be fine-tuned for specific use cases, it may not perform well on certain tasks if it has not been specifically trained for them. Additionally, the output of ChatGPT may be difficult to interpret, which could pose challenges for decision-making in data science applications.","","Big Data Cogn. Comput.","2","10.3390/bdcc7020062","https://consensus.app/papers/the-role-of-chatgpt-in-data-science-how-aiassisted-hassani-silva/b5882315a69c50ff8cd56bf748cbb962/"
"Measuring GitHub Copilot's Impact on Productivity","","Albert Ziegler, Eirini Kalliamvakou, LI X.ALICE, Andrew Rice, Devon Rifkin, Shawn Simister, Ganesh Sittampalam, Edward Aftandilian",2024,90,"Case study asks Copilot users about its impact on their productivity, and seeks to find their perceptions mirrored in user data.","","Communications of the ACM","1","10.1145/3633453","https://consensus.app/papers/measuring-github-copilots-impact-on-productivity-ziegler-kalliamvakou/46790ee305e158019b85fbe1dafc5af4/"
"Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow","Generative AI tools like ChatGPT and Copilot revolutionize software development workflows, enabling more efficient work, faster learning, and increased motivation, while transforming teamwork collaboration.","Rasmus Ulfsnes, N. Moe, V. Stray, Marianne Skarpen",2024,31,"Generative AI (GenAI) has fundamentally changed how knowledge workers, such as software developers, solve tasks and collaborate to build software products. Introducing innovative tools like ChatGPT and Copilot has created new opportunities to assist and augment software developers across various problems. We conducted an empirical study involving interviews with 13 data scientists, managers, developers, designers, and frontend developers to investigate the usage of GenAI. Our study reveals that ChatGPT signifies a paradigm shift in the workflow of software developers. The technology empowers developers by enabling them to work more efficiently, speed up the learning process, and increase motivation by reducing tedious and repetitive tasks. Moreover, our results indicate a change in teamwork collaboration due to software engineers using GenAI for help instead of asking co-workers which impacts the learning loop in agile teams.","","ArXiv","","10.48550/arxiv.2405.01543","https://consensus.app/papers/transforming-software-development-with-generative-ai-ulfsnes-moe/14d4c52c79ec5e10b8902e1da5bf6c93/"
"On the Design of AI-powered Code Assistants for Notebooks","AI-powered code assistants in computational notebooks should focus on disambiguation, domain-specific tools, and politeness to effectively support exploratory and presentational work.","A. Mcnutt, Chenglong Wang, R. Deline, S. Drucker",2023,95,"AI-powered code assistants, such as Copilot, are quickly becoming a ubiquitous component of contemporary coding contexts. Among these environments, computational notebooks, such as Jupyter, are of particular interest as they provide rich interface affordances that interleave code and output in a manner that allows for both exploratory and presentational work. Despite their popularity, little is known about the appropriate design of code assistants in notebooks. We investigate the potential of code assistants in computational notebooks by creating a design space (reified from a survey of extant tools) and through an interview-design study (with 15 practicing data scientists). Through this work, we identify challenges and opportunities for future systems in this space, such as the value of disambiguation for tasks like data visualization, the potential of tightly scoped domain-specific tools (like linters), and the importance of polite assistants.","","Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems","","10.1145/3544548.3580940","https://consensus.app/papers/on-the-design-of-aipowered-code-assistants-for-notebooks-mcnutt-wang/4e40eb48eb1b5801a415c3ef06cc72ab/"
"A data-intelligence-intensive bioinformatics copilot system for large-scale omics research and scientific insights","Bio-Copilot, a data-intelligence-intensive bioinformatics copilot system, synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies.","Yang Liu, Rongbo Shen, Lu Zhou, Qingyu Xiao, Jiao Yuan, Yixue Li",2025,4,"Advancements in high-throughput sequencing technologies and artificial intelligence (AI) offer unprecedented opportunities for groundbreaking discoveries in bioinformatics research. However, the challenges of exponential growth of omics data and the rapid development of AI technologies require automated big biological data analysis capability and interdisciplinary knowledge-driven scientific insight. Here, we propose a data-intelligence-intensive bioinformatics copilot (Bio-Copilot) system that synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies. Bio-Copilot forms high-quality intensive intelligence through close collaboration between multiple agents, driven by large language models (LLMs), and human researchers. To augment the capabilities of Bio-Copilot, this study devises an agent group management strategy, an effective human-agent interaction mechanism, a shared interdisciplinary knowledge database, and continuous learning strategies for the agents. We comprehensively compare Bio-Copilot against GPT-4o and several leading AI agents across diverse bioinformatics tasks, using a broad range of evaluation metrics. Bio-Copilot achieves overall state-of-the-art performance across all tasks, while showcasing exceptional task completeness. Furthermore, on application to constructing a large-scale human lung cell atlas, Bio-Copilot not only reproduces the intricate data integration process detailed in a seminal study but also introduces a recursive, multilevel annotation strategy to capture the continuous nature of cellular states and uncovers the characteristics of rare cell types, highlighting its potential to unravel hidden complexities in biological systems. Beyond the technical achievements, this study also underscores the profound implications of integrating AI capabilities with expert knowledge in accelerating impactful biological discoveries and exploring uncharted territories.","","Briefings in Bioinformatics","1","10.1093/bib/bbaf312","https://consensus.app/papers/a-dataintelligenceintensive-bioinformatics-copilot-liu-shen/a426cc30e2855a91aae64ca8b07faa87/"
"The Impact of AI on Developer Productivity: Evidence from GitHub Copilot","GitHub Copilot, an AI pair programmer, significantly increased software developers' productivity by 55.8% when implementing an HTTP server in JavaScript compared to a control group.","Sida Peng, Eirini Kalliamvakou, Peter Cihon, Mert Demirer",2023,444,"Generative AI tools hold promise to increase human productivity. This paper presents results from a controlled experiment with GitHub Copilot, an AI pair programmer. Recruited software developers were asked to implement an HTTP server in JavaScript as quickly as possible. The treatment group, with access to the AI pair programmer, completed the task 55.8% faster than the control group. Observed heterogenous effects show promise for AI pair programmers to help people transition into software development careers.","","ArXiv","","10.48550/arXiv.2302.06590","https://consensus.app/papers/the-impact-of-ai-on-developer-productivity-evidence-from-peng-kalliamvakou/1a2cf1bd0d855faf97982172d00c9c34/"
"Empowering Human-AI Collaboration: Enterprise Technology Platforms and Human Expertise Synergy in Healthcare, Finance, and Scientific Research","Human-AI collaboration in healthcare, finance, and scientific research improves diagnostic accuracy and reduces physician burnout, while maintaining human empathy and addressing ethical challenges.","Venkata Babu Mogili",2025,0,"The relationship between professionals and intelligent machines has taken an unexpected turn. Rather than the wholesale job displacement many predicted, a more nuanced reality emerged—one where artificial intelligence becomes a collaborative partner in complex decision-making. A multinational technology corporation exemplifies this shift through platforms that transform how doctors diagnose diseases, bankers assess risk, and scientists make discoveries. Real-world deployments tell compelling stories. Radiologists working with AI catch tumors too small for the human eye alone, yet clinical judgment determines treatment paths. Trading desks employ algorithms that process market data in milliseconds, while portfolio managers apply wisdom no machine possesses about human psychology and market irrationality. Experimental laboratories accelerate discovery through computational analysis of massive datasets, but breakthrough insights still require human creativity and intuition. This technology corporation took a different path when designing its tools. Azure AI offers massive computing power but lets users decide how to apply it. Copilot understands plain English requests rather than forcing people to learn programming languages. Power Platform turns business experts into app developers without writing code. Each choice reflects the same bet: professionals know their work better than any algorithm. The technology should adapt to them, not vice versa. Ethics weren't an afterthought either—built-in safeguards prevent discriminatory outcomes, protect privacy, and explain AI decisions in terms humans understand. Early results validate the approach. Healthcare institutions report improvement in diagnostic accuracy and reduction in physician burnout. Financial firms detect fraud patterns more effectively while maintaining customer relationships that require human empathy. Investigation teams tackle previously impossible problems by combining computational power with scientific creativity. Challenges remain substantial. Privacy regulations constrain healthcare applications. Financial compliance grows more complex as AI systems require new oversight frameworks. Scientific reproducibility demands careful documentation of algorithmic processes. Yet organizations navigating these challenges successfully demonstrate that human-AI collaboration represents not just a technological shift but a fundamental reimagining of professional work itself. The most effective implementations recognize that optimal outcomes emerge when each partner—human and machine—contributes their distinctive strengths to solving problems neither could address alone.","","Journal of Computer Science and Technology Studies","","10.32996/jcsts.2025.7.7.57","https://consensus.app/papers/empowering-humanai-collaboration-enterprise-technology-mogili/eb15fe674e4853eb84bf9208b53f7a70/"
"Improving Steering and Verification in AI-Assisted Data Analysis with Interactive Task Decomposition","Stepwise and Phasewise approaches in AI-assisted data analysis tools improve user control and make intervention, correction, and verification easier compared to a conversational baseline.","Majeed Kazemitabaar, Jack Williams, Ian Drosos, Tovi Grossman, Austin Z Henley, Carina Negreanu, Advait Sarkar",2024,43,"LLM-powered tools like ChatGPT Data Analysis, have the potential to help users tackle the challenging task of data analysis programming, which requires expertise in data processing, programming, and statistics. However, our formative study (n=15) uncovered serious challenges in verifying AI-generated results and steering the AI (i.e., guiding the AI system to produce the desired output). We developed two contrasting approaches to address these challenges. The first (Stepwise) decomposes the problem into step-by-step subgoals with pairs of editable assumptions and code until task completion, while the second (Phasewise) decomposes the entire problem into three editable, logical phases: structured input/output assumptions, execution plan, and code. A controlled, within-subjects experiment (n=18) compared these systems against a conversational baseline. Users reported significantly greater control with the Stepwise and Phasewise systems, and found intervention, correction, and verification easier, compared to the baseline. The results suggest design guidelines and trade-offs for AI-assisted data analysis tools.","","Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology","","10.1145/3654777.3676345","https://consensus.app/papers/improving-steering-and-verification-in-aiassisted-data-kazemitabaar-williams/ed5b7a945b105795b4c5f28b4cac8954/"
