Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Practices and Challenges of Using GitHub Copilot: An Empirical Study","GitHub Copilot is a useful tool for auto-completing source code, but integration challenges make it a double-edged sword for developers.","Beiqi Zhang, Peng Liang, X. Zhou, Aakash Ahmad, Muhammad Waseem",2023,51,"With the advances in machine learning, there is a growing interest in AI-enabled tools for autocompleting source code. GitHub Copilot, also referred to as the""AI Pair Programmer"", has been trained on billions of lines of open source GitHub code, and is one of such tools that has been increasingly used since its launch on June 2021. However, little effort has been devoted to understanding the practices and challenges of using Copilot in programming with auto-completed source code. To this end, we conducted an empirical study by collecting and analyzing the data from Stack Overflow (SO) and GitHub Discussions. More specifically, we searched and manually collected 169 SO posts and 655 GitHub discussions related to the usage of Copilot. We identified the programming languages, IDEs, technologies used with Copilot, functions implemented, benefits, limitations, and challenges when using Copilot. The results show that when practitioners use Copilot: (1) The major programming languages used with Copilot are JavaScript and Python, (2) the main IDE used with Copilot is Visual Studio Code, (3) the most common used technology with Copilot is Node.js, (4) the leading function implemented by Copilot is data processing, (5) the significant benefit of using Copilot is useful code generation, and (6) the main limitation encountered by practitioners when using Copilot is difficulty of integration. Our results suggest that using Copilot is like a double-edged sword, which requires developers to carefully consider various aspects when deciding whether or not to use it. Our study provides empirically grounded foundations and basis for future research on the role of Copilot as an AI pair programmer in software development.","","","","10.18293/seke2023-077","https://consensus.app/papers/practices-and-challenges-of-using-github-copilot-an-zhang-liang/9f21248b26ce5831ab3a179fc2bbad16/"
"Transforming Software Development: Evaluating the Efficiency and Challenges of GitHub Copilot in Real-World Projects","GitHub Copilot significantly reduces developer toil, saving up to 50% time in code documentation and repetitive tasks, but struggles with complex tasks and proprietary contexts.","Ruchika Pandey, Prabhat Singh, Raymond Wei, Shaila Shankar",2024,29,"Generative AI technologies promise to transform the product development lifecycle. This study evaluates the efficiency gains, areas for improvement, and emerging challenges of using GitHub Copilot, an AI-powered coding assistant. We identified 15 software development tasks and assessed Copilot's benefits through real-world projects on large proprietary code bases. Our findings indicate significant reductions in developer toil, with up to 50% time saved in code documentation and autocompletion, and 30-40% in repetitive coding tasks, unit test generation, debugging, and pair programming. However, Copilot struggles with complex tasks, large functions, multiple files, and proprietary contexts, particularly with C/C++ code. We project a 33-36% time reduction for coding-related tasks in a cloud-first software development lifecycle. This study aims to quantify productivity improvements, identify underperforming scenarios, examine practical benefits and challenges, investigate performance variations across programming languages, and discuss emerging issues related to code quality, security, and developer experience.","","ArXiv","","10.48550/arxiv.2406.17910","https://consensus.app/papers/transforming-software-development-evaluating-the-pandey-singh/dc5355621cca53b3af95a1030d0896c0/"
"The Impact of AI on Developer Productivity: Evidence from GitHub Copilot","GitHub Copilot, an AI pair programmer, significantly increased software developers' productivity by 55.8% when implementing an HTTP server in JavaScript compared to a control group.","Sida Peng, Eirini Kalliamvakou, Peter Cihon, Mert Demirer",2023,444,"Generative AI tools hold promise to increase human productivity. This paper presents results from a controlled experiment with GitHub Copilot, an AI pair programmer. Recruited software developers were asked to implement an HTTP server in JavaScript as quickly as possible. The treatment group, with access to the AI pair programmer, completed the task 55.8% faster than the control group. Observed heterogenous effects show promise for AI pair programmers to help people transition into software development careers.","","ArXiv","","10.48550/arXiv.2302.06590","https://consensus.app/papers/the-impact-of-ai-on-developer-productivity-evidence-from-peng-kalliamvakou/1a2cf1bd0d855faf97982172d00c9c34/"
"Engineering in the Age of AI: Leveraging Copilot for Enhanced Software Development","AI-powered development tools like Microsoft Copilot accelerate software development velocity while maintaining code quality, allowing engineers to focus on higher-value creative and strategic activities.","Santosh Ratna Deepika Addagalla",2025,0,"The emergence of AI-powered development tools like Microsoft Copilot has fundamentally transformed the software engineering landscape. These intelligent assistants serve as force multipliers for engineering talent, enabling dramatic acceleration in development velocity while maintaining or improving code quality across multiple dimensions. From code generation and refactoring to automated testing and documentation, AI assistants enhance human capabilities rather than replacing them, allowing engineers to focus on higher-value creative and strategic activities. Organizations implementing structured governance frameworks, systematic validation processes, and comprehensive capability development programs achieve significantly better outcomes than those pursuing ad-hoc adoption approaches. This technical article examines implementation strategies for effectively integrating AI assistants into development workflows, highlighting the critical balance between automation benefits and engineering ownership that characterizes successful AI-augmented engineering practices.","","International Journal of Engineering and Advanced Technology Studies","","10.37745/ijeats.13/vol13n12943","https://consensus.app/papers/engineering-in-the-age-of-ai-leveraging-copilot-for-addagalla/8b96a678fa255f15a7a590ba9d498b6c/"
"Exploring the problems, their causes and solutions of AI pair programming: A study on GitHub and Stack Overflow","GitHub Copilot users face common problems like Operation and Compatibility issues, with common causes being Copilot Internal Error, Network Connection Error, and Editor/IDE Compatibility Issue, and solutions being Copilot Fix, Modify Configuration, and Use Suitable Version.","Xiyu Zhou, Peng Liang, Beiqi Zhang, Zengyang Li, Aakash Ahmad, Mojtaba Shahin, Muhammad Waseem",2023,20,"","","J. Syst. Softw.","1","10.1016/j.jss.2024.112204","https://consensus.app/papers/exploring-the-problems-their-causes-and-solutions-of-ai-zhou-liang/3ccad2c75eb555668eee54ae07326805/"
"The Impact of AI Tool on Engineering at ANZ Bank An Emperical Study on GitHub Copilot within Coporate Environment","GitHub Copilot significantly boosts productivity and code quality in large-scale software engineering environments, with positive participant feedback and overall positive results.","Sayan Chatterjee, Ching Louis Liu, Gareth Rowland, Tim Hogarth",2024,8,"The increasing popularity of AI, particularly Large Language Models (LLMs), has significantly impacted various domains, including Software Engineering. This study explores the integration of AI tools in software engineering practices within a large organization. We focus on ANZ Bank, which employs over 5000 engineers covering all aspects of the software development life cycle. This paper details an experiment conducted using GitHub Copilot, a notable AI tool, within a controlled environment to evaluate its effectiveness in real-world engineering tasks. Additionally, this paper shares initial findings on the productivity improvements observed after GitHub Copilot was adopted on a large scale, with about 1000 engineers using it. ANZ Bank's six-week experiment with GitHub Copilot included two weeks of preparation and four weeks ofactive testing. The study evaluated participant sentiment and the tool's impact on productivity, code quality, and security. Initially, participants used GitHub Copilot for proposed use-cases, with their feedback gathered through regular surveys. In the second phase, they were divided into Control andCopilot groups, each tackling the same Python challenges, and their experiences were again surveyed. Results showed a notable boost in productivity and code quality with GitHub Copilot, though its impact on code security remained inconclusive. Participant responses were overall positive, confirming GitHub Copilot's effectiveness in large-scale software engineering environments. Early data from 1000 engineers also indicated a significant increase in productivity and job satisfaction.","","ArXiv","","10.48550/arxiv.2402.05636","https://consensus.app/papers/the-impact-of-ai-tool-on-engineering-at-anz-bank-an-emperical-chatterjee-liu/5ebc4c61d01d5e77956ee312defff3dd/"
"“It’s Weird That it Knows What I Want”: Usability and Interactions with Copilot for Novice Programmers","Novice programmers find Github Copilot useful for generating code, but face cognitive and metacognitive challenges.","J. Prather, B. Reeves, Paul Denny, Brett A. Becker, Juho Leinonen, Andrew Luxton-Reilly, Garrett B. Powell, James Finnie-Ansley, E. Santos",2023,206,"Recent developments in deep learning have resulted in code-generation models that produce source code from natural language and code-based prompts with high accuracy. This is likely to have profound effects in the classroom, where novices learning to code can now use free tools to automatically suggest solutions to programming exercises and assignments. However, little is currently known about how novices interact with these tools in practice. We present the first study that observes students at the introductory level using one such code auto-generating tool, Github Copilot, on a typical introductory programming (CS1) assignment. Through observations and interviews we explore student perceptions of the benefits and pitfalls of this technology for learning, present new observed interaction patterns, and discuss cognitive and metacognitive difficulties faced by students. We consider design implications of these findings, specifically in terms of how tools like Copilot can better support and scaffold the novice programming experience.","","ACM Transactions on Computer-Human Interaction","1","10.1145/3617367","https://consensus.app/papers/%E2%80%9C-it-%E2%80%99-s-weird-that-it-knows-what-i-want-%E2%80%9D-usability-and-prather-reeves/c2acf0c4024056c9a52bf9f68ed5b091/"
"From Copilot to Pilot: Towards AI Supported Software Development","AI-supported code completion tools like Copilot need improvement in following language idioms and avoiding code smells to advance to AI-supported software engineering.","Rohith Pudari, Neil A. Ernst",2023,26,"AI-supported programming has arrived, as shown by the introduction and successes of large language models for code, such as Copilot/Codex (Github/OpenAI) and AlphaCode (DeepMind). Above human average performance on programming challenges is now possible. However, software engineering is much more than solving programming contests. Moving beyond code completion to AI-supported software engineering will require an AI system that can, among other things, understand how to avoid code smells, to follow language idioms, and eventually (maybe!) propose rational software designs. In this study, we explore the current limitations of AI-supported code completion tools like Copilot and offer a simple taxonomy for understanding the classification of AI-supported code completion tools in this space. We first perform an exploratory study on Copilot's code suggestions for language idioms and code smells. Copilot does not follow language idioms and avoid code smells in most of our test scenarios. We then conduct additional investigation to determine the current boundaries of AI-supported code completion tools like Copilot by introducing a taxonomy of software abstraction hierarchies where 'basic programming functionality' such as code compilation and syntax checking is at the least abstract level, software architecture analysis and design are at the most abstract level. We conclude by providing a discussion on challenges for future development of AI-supported code completion tools to reach the design level of abstraction in our taxonomy.","","ArXiv","","10.48550/arxiv.2303.04142","https://consensus.app/papers/from-copilot-to-pilot-towards-ai-supported-software-pudari-ernst/47881793d0575e7891355b3053774ce8/"
"A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges","AI programming assistants are most useful for reducing key-strokes, finishing tasks quickly, and recalling syntax, but not for brainstorming solutions or addressing functional or non-functional requirements.","Jenny T Liang, Chenyang Yang, B. Myers",2023,160,"The software engineering community recently has witnessed widespread deployment of AI programming assistants, such as GitHub Copilot. However, in practice, developers do not accept AI programming assistants' initial suggestions at a high frequency. This leaves a number of open questions related to the usability of these tools. To understand developers' practices while using these tools and the important usability challenges they face, we administered a survey to a large population of developers and received responses from a diverse set of 410 developers. Through a mix of qualitative and quantitative analyses, we found that developers are most motivated to use AI programming assistants because they help developers reduce key-strokes, finish programming tasks quickly, and recall syntax, but resonate less with using them to help brainstorm potential solutions. We also found the most important reasons why developers do not use these tools are because these tools do not output code that addresses certain functional or non-functional requirements and because developers have trouble controlling the tool to generate the desired output. Our findings have implications for both creators and users of AI programming assistants, such as designing minimal cognitive effort interactions with these tools to reduce distractions for users while they are programming.","","2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE)","","10.1145/3597503.3608128","https://consensus.app/papers/a-largescale-survey-on-the-usability-of-ai-programming-liang-yang/64fb4f3a5e665074b57a5567e0867304/"
"An Evaluation of the Impact of Code Generation Tools on Software Development","AI-assisted tools like GitHub Copilot can significantly reduce task completion time in software development, but code correctness remains unchanged, highlighting the need for human oversight.","Luiz Fernando Mendes Osório, P. D. A. S. Neto, Guilherme Avelino, Werney Ayala Luz Lira",2025,2,"Context: The rise of AI-assisted tools like GitHub Copilot aims to improve productivity in software development, raising questions about their practical impact on developer performance and code quality. Problem: While AI-assisted tools are promoted for enhancing productivity, empirical evidence on their real-world impact remains limited. This study addresses whether such tools improve programming workflows, focusing on developers with varying experience levels and examining effects on coding quality and efficiency. Solution: An empirical study is conducted to assess Copilot’s effectiveness through experiments with student developers, focusing on task efficiency and code correctness, guided by established indicators identified in the literature. IS Theory: Grounded in the Task-Technology Fit (TTF) theory, this research explores the extent to which Copilot aligns with programming tasks and meets user needs, ensuring its relevance to practical development scenarios. Method: A literature review identified key indicators for evaluating AI-assisted code generation, focusing on task completion time and code correctness. Data collection involved task-based experiments with students, followed by quantitative analysis comparing performance with and without Copilot. Summary of Results: Findings indicate that Copilot can significantly reduce task completion time. However, no statistically significant differences were observed in code correctness, suggesting that while Copilot improves efficiency, its recommendations require careful review to ensure quality. Contributions and Impact on IS Field: This study contributes empirical insights into AI-assisted coding’s advantages and challenges. The results inform academia and industry about best practices for implementing such tools effectively, emphasizing their potential for accelerating development while maintaining the need for human oversight.","","","","10.5753/sbsi.2025.246605","https://consensus.app/papers/an-evaluation-of-the-impact-of-code-generation-tools-on-os%C3%B3rio-neto/d23d79ebe5e754b69649069344e9e3a0/"
