Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A data-intelligence-intensive bioinformatics copilot system for large-scale omics research and scientific insights","Bio-Copilot, a data-intelligence-intensive bioinformatics copilot system, synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies.","Yang Liu, Rongbo Shen, Lu Zhou, Qingyu Xiao, Jiao Yuan, Yixue Li",2025,4,"Advancements in high-throughput sequencing technologies and artificial intelligence (AI) offer unprecedented opportunities for groundbreaking discoveries in bioinformatics research. However, the challenges of exponential growth of omics data and the rapid development of AI technologies require automated big biological data analysis capability and interdisciplinary knowledge-driven scientific insight. Here, we propose a data-intelligence-intensive bioinformatics copilot (Bio-Copilot) system that synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies. Bio-Copilot forms high-quality intensive intelligence through close collaboration between multiple agents, driven by large language models (LLMs), and human researchers. To augment the capabilities of Bio-Copilot, this study devises an agent group management strategy, an effective human-agent interaction mechanism, a shared interdisciplinary knowledge database, and continuous learning strategies for the agents. We comprehensively compare Bio-Copilot against GPT-4o and several leading AI agents across diverse bioinformatics tasks, using a broad range of evaluation metrics. Bio-Copilot achieves overall state-of-the-art performance across all tasks, while showcasing exceptional task completeness. Furthermore, on application to constructing a large-scale human lung cell atlas, Bio-Copilot not only reproduces the intricate data integration process detailed in a seminal study but also introduces a recursive, multilevel annotation strategy to capture the continuous nature of cellular states and uncovers the characteristics of rare cell types, highlighting its potential to unravel hidden complexities in biological systems. Beyond the technical achievements, this study also underscores the profound implications of integrating AI capabilities with expert knowledge in accelerating impactful biological discoveries and exploring uncharted territories.","","Briefings in Bioinformatics","1","10.1093/bib/bbaf312","https://consensus.app/papers/a-dataintelligenceintensive-bioinformatics-copilot-liu-shen/a426cc30e2855a91aae64ca8b07faa87/"
"A multimodal generative AI copilot for human pathology","PathChat is a vision-language AI assistant for human pathology, providing accurate and pathologist-preferable responses to diverse diagnostic questions.","Ming Y. Lu, Bowen Chen, Drew F. K. Williamson, Richard J. Chen, Melissa Zhao, Aaron K Chow, Kenji Ikemura, Ahrong Kim, Dimitra Pouli, Ankush U Patel, Amr Soliman, Chengkuan Chen, Tong Ding, Judy J. Wang, Georg K. Gerber, Ivy Liang, L. Le, Anil V. Parwani, Luca L. Weishaupt, Faisal Mahmood",2024,320,"Computational pathologyhas witnessed considerable progress in the development of both task-specific predictive models and task-agnostic self-supervised vision encoders. However, despite the explosive growth of generative artificial intelligence (AI), there have been few studies on building general-purpose multimodal AI assistants and copilotstailored to pathology. Here we present PathChat, a vision-language generalist AI assistant for human pathology. We built PathChat by adapting a foundational vision encoder for pathology, combining it with a pretrained large language model and fine-tuning the whole system on over 456,000 diverse visual-language instructions consisting of 999,202 question and answer turns. We compare PathChat with several multimodal vision-language AI assistants and GPT-4V, which powers the commercially available multimodal general-purpose AI assistant ChatGPT-4 (ref.). PathChat achieved state-of-the-art performance on multiple-choice diagnostic questions from cases with diverse tissue origins and disease models. Furthermore, using open-ended questions and human expert evaluation, we found that overall PathChat produced more accurate and pathologist-preferable responses to diverse queries related to pathology. As an interactive vision-language AI copilot that can flexibly handle both visual and natural language inputs, PathChat may potentially find impactful applications in pathology education, research and human-in-the-loop clinical decision-making.","","Nature","1","10.1038/s41586-024-07618-3","https://consensus.app/papers/a-multimodal-generative-ai-copilot-for-human-pathology-lu-chen/eb6c0fd33e5b5dc4a5a626e2a47eb0f7/"
"AI Copilots for Reproducibility in Science: A Case Study","AI-driven ""Reproducibility Copilot"" can significantly reduce reproducibility time and improve scientific communication by detecting barriers and recommending improvements.","Adrien Bibal, Steven N. Minton, Deborah Khider, Yolanda Gil",2025,2,"Open science initiatives seek to make research outputs more transparent, accessible, and reusable, but ensuring that published findings can be independently reproduced remains a persistent challenge. In this paper we describe an AI-driven""Reproducibility Copilot""that analyzes manuscripts, code, and supplementary materials to generate structured Jupyter Notebooks and recommendations aimed at facilitating computational, or""rote"", reproducibility. Our initial results suggest that the copilot has the potential to substantially reduce reproduction time (in one case from over 30 hours to about 1 hour) while achieving high coverage of figures, tables, and results suitable for computational reproduction. The system systematically detects barriers to reproducibility, including missing values for hyperparameters, undocumented preprocessing steps, and incomplete or inaccessible datasets. Although preliminary, these findings suggest that AI tools can meaningfully reduce the burden of reproducibility efforts and contribute to more transparent and verifiable scientific communication.","","ArXiv","","10.48550/arxiv.2506.20130","https://consensus.app/papers/ai-copilots-for-reproducibility-in-science-a-case-study-bibal-minton/e032a2ca0ed35351bb05aa5cd3af6e64/"
"AI-Driven Copilot: Revolutionizing Scientific Discovery and Innovation through Self-Learning Systems","","Subhasis Kundu",2023,0,"This paper investigates the transformative impact
of AI-powered copilots on scientific research and innovation. It
explores how self-learning systems possess the potential to
revolutionize hypothesis generation, experimental design, and
data analysis across various scientific disciplines. The study
examines the integration of autonomous AI agents into research
workflows, emphasizing their ability to accelerate discovery
processes and enhance the capabilities of human researchers.
This paper explores the challenges and ethical implications of
using AI copilots in scientific research. It presents case studies
showcasing successful applications of AI-driven research
assistants in areas like drug discovery, materials science, and
climate modeling. Additionally, it proposes a framework for
developing and implementing AI copilots in research
environments, emphasizing the significance of human-AI
collaboration and responsible innovation.

Keywords — Artificial Intelligence, Scientific Discovery, Self-
Learning Systems, Research Automation, Human-AI

Collaboration, Innovation Acceleration, Ethical Considerations, AI
Copilots, Drug Discovery, Materials Science, Climate Modeling.","","Journal of Artificial Intelligence, Machine Learning and Data Science","","10.51219/jaimld/subhasis-kundu/546","https://consensus.app/papers/aidriven-copilot-revolutionizing-scientific-discovery-kundu/d161897596d153359af3d6f31f79a5b0/"
"Artificial Intelligence as a Scientific Copilot in Analytical Chemistry: Transforming How We Write, Review, and Publish","AI tools in analytical chemistry can enhance scientific writing, but responsible adoption and ethical guidelines are needed to ensure AI enhances critical thinking and creativity, rather than undermining it.","Adrián Fuente-Ballesteros, Victoria Samanidou, S. Daryanavard, A. M. Ares, José Bernal",2025,0,"Artificial intelligence (AI) is increasingly present across all phases of analytical chemistry, not only in experimental workflows but also in the way scientific writing is produced, evaluated, and published. This perspective offers a critical reflection on the growing use of AI tools as writing copilots in the field, focusing on novel yet underexplored practices such as literature review support, manuscript drafting, and AI-assisted peer review. While tools like ChatGPT, SciSpace, and Grammarly are becoming commonplace in manuscript preparation, their integration also raises important concerns about authorship transparency, originality, and the homogenization of scientific voice. The article highlights both the opportunities and limitations of these technologies. A comparative analysis is presented to summarize the main strengths, weaknesses, opportunities, and threats associated with AI use in scientific communication. This work advocates for the responsible adoption of these tools, the development of ethical guidelines, and the inclusion of AI training in analytical chemistry curricula. By encouraging the scientific community to reflect on these changes collectively, we expect to ensure that AI enhances, rather than undermines, the critical thinking and creativity that define scientific authorship.","","Analytical Chemistry","1","10.1021/acs.analchem.5c03767","https://consensus.app/papers/artificial-intelligence-as-a-scientific-copilot-in-fuente-ballesteros-samanidou/f78c65ad933c5ea98501c8e27f40302f/"
"A Data-Intelligence-Intensive Bioinformatics Copilot System for Large-scale Omics Researches and Scientific Insights","Bio-Copilot, a data-intelligence-intensive bioinformatics copilot system, combines AI capabilities with human expertise to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies.","Yang Liu, Rongbo Shen, Lu Zhou, Qingyu Xiao, Jiao Yuan, Yixue Li",2024,2,"Advancements in high-throughput sequencing technologies and artificial intelligence offer unprecedented opportunities for groundbreaking discoveries in bioinformatics research. However, the challenges of exponential growth of omics data and the rapid development of artificial intelligence technologies require automated big biological data analysis capability and interdisciplinary knowledge-driven scientific insight. Here we propose a data-intelligence-intensive bioinformatics copilot (Bio-Copilot) system that synergizes AI capabilities with human expertise to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies. Bio-Copilot forms high-quality intensive intelligence through close collaboration between multiple agents, driven by large language models (LLMs), and human experts. To augment the capabilities of Bio-Copilot, this study devises an agent group management strategy, an effective human-agent interaction mechanism, a shared interdisciplinary knowledge database, and continuous learning strategies for the agents. We comprehensively compare Bio-Copilot against GPT-4o and several leading AI agents across diverse bioinformatics tasks, using a broad range of evaluation metrics. Bio-Copilot achieves the overall state-of-the-art performance across all tasks, while showcases exceptional task completeness. Furthermore, in the application of constructing a large-scale human lung cell atlas, Bio-Copilot not only reproduces the intricate data integration process detailed in a seminal study but also introduces a hierarchical annotation strategy to capture the continuous nature of cellular states and uncovers the characteristics of rare cell types, highlighting its potential to unravel hidden complexities in biological systems. Beyond the technical achievements, this study also underscores the profound implications of integrating AI capabilities with expert knowledge in accelerating impactful biological discoveries and exploring uncharted territories in life sciences.","","bioRxiv","","10.1101/2024.05.19.594895","https://consensus.app/papers/a-dataintelligenceintensive-bioinformatics-copilot-liu-shen/1599bd2d1ad852e7b29c7f287d4d5af1/"
"Harnessing AI for enhancing scientific writing in nursing research: Prospects, pitfalls, and solutions.","AI tools can enhance nursing research writing by automating tasks and boosting productivity, but their use must be mindful and responsible, ensuring scientific integrity and ethical conduct.","Y. Yasin, Areej Al-Hamad",2023,11,"Artificial intelligence (AI) has been revolutionizing various domains of human endeavor, and the scientific writing landscape in nursing research is no exception (Davenport & Kalakota, 2019). Indeed, the increasing pervasiveness of AI tools for research writing offers significant advantages, but it also presents certain challenges. Nonetheless, with mindful use, these technologies can become pivotal for researchers, including those for whom English is a second language. AI software such as ChatGPT, developed by OpenAI, and other tools like RapidMiner, Copilot by SCISPACE and Iris.ai, offer immense potential for automating and streamlining various tasks related to research. RapidMiner, with its robust AI capabilities, can be used for data analysis, enabling researchers to efficiently identify patterns and trends in their data (Bjaoui et al., 2020). Copilot serves as an AI-driven research assistant, adept at elucidating text, mathematical equations, and tables present in scientific literature, including research papers, technical blogs, and reports. This innovative tool possesses the capability to pose pertinent follow-up queries and promptly provide insightful answers, thereby facilitating a comprehensive understanding of the material at hand. Iris.ai, on the other hand, is an AI research assistant that can expedite the literature review process by providing faster access to relevant academic papers, thereby facilitating a comprehensive understanding of the research landscape. Furthermore, AI tools such as ChatGPT can also aid in drafting manuscripts (Kohli, 2023; Sawtell-Rickson, 2023), offering valuable suggestions for structuring and enhancing the content. This amalgamation of tools significantly boosts productivity and facilitates scientific progress by making research writing a more efficient process. In the case of nonnative English speakers, AI software with advanced language processing capabilities can help overcome language barriers by providing real-time language corrections, vocabulary suggestions, and grammar checks, thereby enhancing the overall readability and credibility of their work (Gayed et al., 2022). It could help researchers convey complex nursing concepts with clarity and precision. For example, Grammarly, an AI-powered writing assistant that can correct grammar and punctuation errors, enhance clarity and meaning, and even detect plagiarism, proving to be especially beneficial for nonnative English speakers (Oneill & Russell, 2019). Writefull, an AI language tool developed specifically for academic writing, offers researchers feedback on their writing, such as correcting language errors and providing alternative phrasing suggestions (Markéta, 2022). On the other hand, while the advantages are substantial, the use of AI in research writing also poses certain challenges. First, reliance on AI might inadvertently promote less critical engagement with literature and data analysis, which could potentially compromise the rigor and validity of the research (Hosseini et al., 2023). Second, AI systems might inadvertently introduce errors or biases in writing, given their training on existing data, which might reflect historical biases (Hosseini et al., 2023). Moreover, AI tools, while sophisticated, cannot fully replicate the nuanced understanding and experiential knowledge that human researchers bring to the table, especially in a field as human-centric as nursing research. Hence, uncritical reliance on AI might inadvertently overlook important nuances and complexities inherent in nursing research. To mitigate these potential disadvantages, the solution lies in mindful and responsible use of AI. Researchers need to maintain active engagement with their work, critically examining AI-generated content, and cross-verifying AI-processed data and literature. AI should be used as a tool to aid the process of research and not as a substitute for human intellectual effort and judgment. Importantly, scientists, researchers, and trainees should participate in the further development and fine-tuning of AI tools, ensuring the tools' efficacy and minimizing misuse. Incorporating rigorous barriers against misinformation and biases is a crucial part of this endeavor. Furthermore, in promoting AI use in research writing, the principles of scientific integrity must remain paramount. As noted, there is nothing artificial about scientific integrity. It remains the responsibility of human researchers to ensure the highest ethical conduct and accurate reporting of science. In this context, AI tools should be used judiciously, supplementing human intelligence rather than replacing it. When a manuscript section, crafted by a Natural Language Processing (NLP) system such as ChatGPT, manifests inaccuracies or biases, the onus lies with the co-authors to ensure its correctness, persuasiveness, and ethical uprightness. Therefore, users of these NLP systems, when using them for manuscript writing, must rigorously vet the generated content for factual correctness, appropriate referencing, potential biases, logical and mathematical reasoning, pertinence, and novelty (Hosseini et al., 2023). In cases where NLP systems are used to generate English content and the authors possess limited English proficiency, it's essential to seek assistance from a fluent English speaker to detect potential errors. Should an NLP system err, either by inclusion or omission, authors must adopt precautionary steps to rectify it before publication. Looking towards the future, the potential applications of AI in nursing research and education appear to be expansive and transformative. With the integration of AI in data analysis and synthesis, we can anticipate a significant acceleration in nursing research. Incorporating AI in teaching nursing research to nursing students could significantly enhance their learning experience. To begin with, AI-powered tools could be integrated into the curriculum to expose students to real-world applications of AI in nursing research. For instance, AI-based data analysis tools can be used in teaching statistical analysis, enabling students to understand complex datasets and identify patterns more efficiently. Students could also use AI-driven literature review tools to streamline their research process, helping them understand how to select and synthesize relevant studies. Additionally, AI writing assistants can aid in teaching students how to draft clear and cohesive research manuscripts and improving their academic writing skills. As part of their training, students should also be taught about the ethical considerations related to the use of AI, including data privacy, bias, and the importance of human oversight. By doing so, nursing educators can equip students with both the practical skills and ethical awareness necessary to navigate the evolving landscape of nursing research in the AI era. Ultimately, the growing ubiquity of AI in research writing is an innovation that cannot be ignored. As researchers and educators in the field of nursing, it is our responsibility to use these tools to their best advantage, and for the greater good. By teaching our trainees to effectively and ethically utilize these tools, we enable the next generation of researchers to contribute significantly to the progress of nursing science. In conclusion, AI offers considerable potential in enhancing scientific writing in nursing research. However, this comes with the understanding that the tools are just that—tools. Human intelligence, discernment, and integrity remain the driving force behind all scientific progress. Manuscript writing: Yasin M. Yasin and Areej AL-hamad. Critical revisions for important intellectual content: Yasin M. Yasin and Areej AL-hamad. The authors declare no conflicts of interest.","","Research in nursing & health","1","10.1002/nur.22326","https://consensus.app/papers/harnessing-ai-for-enhancing-scientific-writing-in-nursing-yasin-al-hamad/54b7ddfccf095f1e9fa07ccd59b3938c/"
"Comparative accuracy of ChatGPT-4, Microsoft Copilot and Google Gemini in the Italian entrance test for healthcare sciences degrees: a cross-sectional study","AI chatbots ChatGPT-4 and Microsoft Copilot performed better than Google Gemini in predicting correct answers on the Italian entrance test for healthcare science degrees, with logical reasoning being the predominant correct answer.","G. Rossettini, Lia Rodeghiero, Federica Corradi, Chad Cook, P. Pillastrini, Andrea Turolla, G. Castellini, Stefania Chiappinotto, S. Gianola, A. Palese",2024,67,"Artificial intelligence (AI) chatbots are emerging educational tools for students in healthcare science. However, assessing their accuracy is essential prior to adoption in educational settings. This study aimed to assess the accuracy of predicting the correct answers from three AI chatbots (ChatGPT-4, Microsoft Copilot and Google Gemini) in the Italian entrance standardized examination test of healthcare science degrees (CINECA test). Secondarily, we assessed the narrative coherence of the AI chatbots' responses (i.e., text output) based on three qualitative metrics: the logical rationale behind the chosen answer, the presence of information internal to the question, and presence of information external to the question. An observational cross-sectional design was performed in September of 2023. Accuracy of the three chatbots was evaluated for the CINECA test, where questions were formatted using a multiple-choice structure with a single best answer. The outcome is binary (correct or incorrect). Chi-squared test and a post hoc analysis with Bonferroni correction assessed differences among chatbots performance in accuracy. A p-value of < 0.05 was considered statistically significant. A sensitivity analysis was performed, excluding answers that were not applicable (e.g., images). Narrative coherence was analyzed by absolute and relative frequencies of correct answers and errors. Overall, of the 820 CINECA multiple-choice questions inputted into all chatbots, 20 questions were not imported in ChatGPT-4 (n = 808) and Google Gemini (n = 808) due to technical limitations. We found statistically significant differences in the ChatGPT-4 vs Google Gemini and Microsoft Copilot vs Google Gemini comparisons (p-value < 0.001). The narrative coherence of AI chatbots revealed ""Logical reasoning"" as the prevalent correct answer (n = 622, 81.5%) and ""Logical error"" as the prevalent incorrect answer (n = 40, 88.9%). Our main findings reveal that: (A) AI chatbots performed well; (B) ChatGPT-4 and Microsoft Copilot performed better than Google Gemini; and (C) their narrative coherence is primarily logical. Although AI chatbots showed promising accuracy in predicting the correct answer in the Italian entrance university standardized examination test, we encourage candidates to cautiously incorporate this new technology to supplement their learning rather than a primary resource. Not required.","non-rct observational study","BMC Medical Education","1","10.1186/s12909-024-05630-9","https://consensus.app/papers/comparative-accuracy-of-chatgpt4-microsoft-copilot-and-rossettini-rodeghiero/d4c476c580ae5b0e9496571c33029d54/"
"Using GitHub Copilot to Solve Simple Programming Problems","GitHub Copilot, a free AI-powered programming assistant, can generate correct and readable Python code for introductory programming problems, but its limitations and potential impact on teaching and assessment require further research.","M. Wermelinger",2023,201,"The teaching and assessment of introductory programming involves writing code that solves a problem described by text. Previous research found that OpenAI's Codex, a natural language machine learning model trained on billions of lines of code, performs well on many programming problems, often generating correct and readable Python code. GitHub's version of Codex, Copilot, is freely available to students. This raises pedagogic and academic integrity concerns. Educators need to know what Copilot is capable of, in order to adapt their teaching to AI-powered programming assistants. Previous research evaluated the most performant Codex model quantitatively, e.g. how many problems have at least one correct suggestion that passes all tests. Here I evaluate Copilot instead, to see if and how it differs from Codex, and look qualitatively at the generated suggestions, to understand the limitations of Copilot. I also report on the experience of using Copilot for other activities asked of students in programming courses: explaining code, generating tests and fixing bugs. The paper concludes with a discussion of the implications of the observed capabilities for the teaching of programming.","","Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1","","10.1145/3545945.3569830","https://consensus.app/papers/using-github-copilot-to-solve-simple-programming-problems-wermelinger/8b51ad24929c5239ad0fd8b25d4db888/"
"Evaluating the Feasibility of Using Generative AI for Educational Research within the Context of Vietnam’s 2018 General Education Curriculum","Generative AI tools can enhance educational research when used with proper verification and structured commands, but accuracy remains a challenge across all platforms.","Ngoan Quynh Thi Nguyen, Ngoc My Tran, Hang Thu Vu, Lan Thi Tran, Ha Viet Thi Nguyen, Thuy Thanh Bui, Trinh Thanh Nguyen",2025,0,"This study examines the feasibility of using generative AI tools in educational research within the context of Vietnam’s 2018 General Education Curriculum. The research evaluates three AI-powered tools – ChatGPT, Gemini, and Copilot - amid growing interest in AI's integration into academic fields, particularly in education. The focus is on their strengths across specific areas of educational research: curriculum development, implementation requirements, and evaluation and assessment. The tools' performance is assessed based on five criteria: accuracy, comprehensiveness, logical clarity, relevance, and currency of information. ChatGPT performs effectively in global citizenship education (curriculum development) while Gemini excels in history assessment standards (evaluation and assessment). Copilot shows promise but struggles with accuracy in certain domains. Despite variations in performance, all tools demonstrate potential in improving research processes, especially in tasks where absolute precision is not critical. However, accuracy remains a significant challenge across all platforms. The findings suggest that AI tools can greatly enhance academic work when used with proper verification and structured commands, underscoring their practical applications and future potential in transforming research methodologies.","","Vietnam Journal of Education","","10.52296/vje.2025.481","https://consensus.app/papers/evaluating-the-feasibility-of-using-generative-ai-for-nguyen-tran/18c5b461cebb55aeb573f879954d5fd4/"
