Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"AI-Driven Copilot: Revolutionizing Scientific Discovery and Innovation through Self-Learning Systems","","Subhasis Kundu",2023,0,"This paper investigates the transformative impact
of AI-powered copilots on scientific research and innovation. It
explores how self-learning systems possess the potential to
revolutionize hypothesis generation, experimental design, and
data analysis across various scientific disciplines. The study
examines the integration of autonomous AI agents into research
workflows, emphasizing their ability to accelerate discovery
processes and enhance the capabilities of human researchers.
This paper explores the challenges and ethical implications of
using AI copilots in scientific research. It presents case studies
showcasing successful applications of AI-driven research
assistants in areas like drug discovery, materials science, and
climate modeling. Additionally, it proposes a framework for
developing and implementing AI copilots in research
environments, emphasizing the significance of human-AI
collaboration and responsible innovation.

Keywords — Artificial Intelligence, Scientific Discovery, Self-
Learning Systems, Research Automation, Human-AI

Collaboration, Innovation Acceleration, Ethical Considerations, AI
Copilots, Drug Discovery, Materials Science, Climate Modeling.","","Journal of Artificial Intelligence, Machine Learning and Data Science","","10.51219/jaimld/subhasis-kundu/546","https://consensus.app/papers/aidriven-copilot-revolutionizing-scientific-discovery-kundu/d161897596d153359af3d6f31f79a5b0/"
"A data-intelligence-intensive bioinformatics copilot system for large-scale omics research and scientific insights","Bio-Copilot, a data-intelligence-intensive bioinformatics copilot system, synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies.","Yang Liu, Rongbo Shen, Lu Zhou, Qingyu Xiao, Jiao Yuan, Yixue Li",2025,4,"Advancements in high-throughput sequencing technologies and artificial intelligence (AI) offer unprecedented opportunities for groundbreaking discoveries in bioinformatics research. However, the challenges of exponential growth of omics data and the rapid development of AI technologies require automated big biological data analysis capability and interdisciplinary knowledge-driven scientific insight. Here, we propose a data-intelligence-intensive bioinformatics copilot (Bio-Copilot) system that synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies. Bio-Copilot forms high-quality intensive intelligence through close collaboration between multiple agents, driven by large language models (LLMs), and human researchers. To augment the capabilities of Bio-Copilot, this study devises an agent group management strategy, an effective human-agent interaction mechanism, a shared interdisciplinary knowledge database, and continuous learning strategies for the agents. We comprehensively compare Bio-Copilot against GPT-4o and several leading AI agents across diverse bioinformatics tasks, using a broad range of evaluation metrics. Bio-Copilot achieves overall state-of-the-art performance across all tasks, while showcasing exceptional task completeness. Furthermore, on application to constructing a large-scale human lung cell atlas, Bio-Copilot not only reproduces the intricate data integration process detailed in a seminal study but also introduces a recursive, multilevel annotation strategy to capture the continuous nature of cellular states and uncovers the characteristics of rare cell types, highlighting its potential to unravel hidden complexities in biological systems. Beyond the technical achievements, this study also underscores the profound implications of integrating AI capabilities with expert knowledge in accelerating impactful biological discoveries and exploring uncharted territories.","","Briefings in Bioinformatics","1","10.1093/bib/bbaf312","https://consensus.app/papers/a-dataintelligenceintensive-bioinformatics-copilot-liu-shen/a426cc30e2855a91aae64ca8b07faa87/"
"A Data-Intelligence-Intensive Bioinformatics Copilot System for Large-scale Omics Researches and Scientific Insights","Bio-Copilot, a data-intelligence-intensive bioinformatics copilot system, combines AI capabilities with human expertise to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies.","Yang Liu, Rongbo Shen, Lu Zhou, Qingyu Xiao, Jiao Yuan, Yixue Li",2024,2,"Advancements in high-throughput sequencing technologies and artificial intelligence offer unprecedented opportunities for groundbreaking discoveries in bioinformatics research. However, the challenges of exponential growth of omics data and the rapid development of artificial intelligence technologies require automated big biological data analysis capability and interdisciplinary knowledge-driven scientific insight. Here we propose a data-intelligence-intensive bioinformatics copilot (Bio-Copilot) system that synergizes AI capabilities with human expertise to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies. Bio-Copilot forms high-quality intensive intelligence through close collaboration between multiple agents, driven by large language models (LLMs), and human experts. To augment the capabilities of Bio-Copilot, this study devises an agent group management strategy, an effective human-agent interaction mechanism, a shared interdisciplinary knowledge database, and continuous learning strategies for the agents. We comprehensively compare Bio-Copilot against GPT-4o and several leading AI agents across diverse bioinformatics tasks, using a broad range of evaluation metrics. Bio-Copilot achieves the overall state-of-the-art performance across all tasks, while showcases exceptional task completeness. Furthermore, in the application of constructing a large-scale human lung cell atlas, Bio-Copilot not only reproduces the intricate data integration process detailed in a seminal study but also introduces a hierarchical annotation strategy to capture the continuous nature of cellular states and uncovers the characteristics of rare cell types, highlighting its potential to unravel hidden complexities in biological systems. Beyond the technical achievements, this study also underscores the profound implications of integrating AI capabilities with expert knowledge in accelerating impactful biological discoveries and exploring uncharted territories in life sciences.","","bioRxiv","","10.1101/2024.05.19.594895","https://consensus.app/papers/a-dataintelligenceintensive-bioinformatics-copilot-liu-shen/1599bd2d1ad852e7b29c7f287d4d5af1/"
"Harnessing AI for enhancing scientific writing in nursing research: Prospects, pitfalls, and solutions.","AI tools can enhance nursing research writing by automating tasks and boosting productivity, but their use must be mindful and responsible, ensuring scientific integrity and ethical conduct.","Y. Yasin, Areej Al-Hamad",2023,11,"Artificial intelligence (AI) has been revolutionizing various domains of human endeavor, and the scientific writing landscape in nursing research is no exception (Davenport & Kalakota, 2019). Indeed, the increasing pervasiveness of AI tools for research writing offers significant advantages, but it also presents certain challenges. Nonetheless, with mindful use, these technologies can become pivotal for researchers, including those for whom English is a second language. AI software such as ChatGPT, developed by OpenAI, and other tools like RapidMiner, Copilot by SCISPACE and Iris.ai, offer immense potential for automating and streamlining various tasks related to research. RapidMiner, with its robust AI capabilities, can be used for data analysis, enabling researchers to efficiently identify patterns and trends in their data (Bjaoui et al., 2020). Copilot serves as an AI-driven research assistant, adept at elucidating text, mathematical equations, and tables present in scientific literature, including research papers, technical blogs, and reports. This innovative tool possesses the capability to pose pertinent follow-up queries and promptly provide insightful answers, thereby facilitating a comprehensive understanding of the material at hand. Iris.ai, on the other hand, is an AI research assistant that can expedite the literature review process by providing faster access to relevant academic papers, thereby facilitating a comprehensive understanding of the research landscape. Furthermore, AI tools such as ChatGPT can also aid in drafting manuscripts (Kohli, 2023; Sawtell-Rickson, 2023), offering valuable suggestions for structuring and enhancing the content. This amalgamation of tools significantly boosts productivity and facilitates scientific progress by making research writing a more efficient process. In the case of nonnative English speakers, AI software with advanced language processing capabilities can help overcome language barriers by providing real-time language corrections, vocabulary suggestions, and grammar checks, thereby enhancing the overall readability and credibility of their work (Gayed et al., 2022). It could help researchers convey complex nursing concepts with clarity and precision. For example, Grammarly, an AI-powered writing assistant that can correct grammar and punctuation errors, enhance clarity and meaning, and even detect plagiarism, proving to be especially beneficial for nonnative English speakers (Oneill & Russell, 2019). Writefull, an AI language tool developed specifically for academic writing, offers researchers feedback on their writing, such as correcting language errors and providing alternative phrasing suggestions (Markéta, 2022). On the other hand, while the advantages are substantial, the use of AI in research writing also poses certain challenges. First, reliance on AI might inadvertently promote less critical engagement with literature and data analysis, which could potentially compromise the rigor and validity of the research (Hosseini et al., 2023). Second, AI systems might inadvertently introduce errors or biases in writing, given their training on existing data, which might reflect historical biases (Hosseini et al., 2023). Moreover, AI tools, while sophisticated, cannot fully replicate the nuanced understanding and experiential knowledge that human researchers bring to the table, especially in a field as human-centric as nursing research. Hence, uncritical reliance on AI might inadvertently overlook important nuances and complexities inherent in nursing research. To mitigate these potential disadvantages, the solution lies in mindful and responsible use of AI. Researchers need to maintain active engagement with their work, critically examining AI-generated content, and cross-verifying AI-processed data and literature. AI should be used as a tool to aid the process of research and not as a substitute for human intellectual effort and judgment. Importantly, scientists, researchers, and trainees should participate in the further development and fine-tuning of AI tools, ensuring the tools' efficacy and minimizing misuse. Incorporating rigorous barriers against misinformation and biases is a crucial part of this endeavor. Furthermore, in promoting AI use in research writing, the principles of scientific integrity must remain paramount. As noted, there is nothing artificial about scientific integrity. It remains the responsibility of human researchers to ensure the highest ethical conduct and accurate reporting of science. In this context, AI tools should be used judiciously, supplementing human intelligence rather than replacing it. When a manuscript section, crafted by a Natural Language Processing (NLP) system such as ChatGPT, manifests inaccuracies or biases, the onus lies with the co-authors to ensure its correctness, persuasiveness, and ethical uprightness. Therefore, users of these NLP systems, when using them for manuscript writing, must rigorously vet the generated content for factual correctness, appropriate referencing, potential biases, logical and mathematical reasoning, pertinence, and novelty (Hosseini et al., 2023). In cases where NLP systems are used to generate English content and the authors possess limited English proficiency, it's essential to seek assistance from a fluent English speaker to detect potential errors. Should an NLP system err, either by inclusion or omission, authors must adopt precautionary steps to rectify it before publication. Looking towards the future, the potential applications of AI in nursing research and education appear to be expansive and transformative. With the integration of AI in data analysis and synthesis, we can anticipate a significant acceleration in nursing research. Incorporating AI in teaching nursing research to nursing students could significantly enhance their learning experience. To begin with, AI-powered tools could be integrated into the curriculum to expose students to real-world applications of AI in nursing research. For instance, AI-based data analysis tools can be used in teaching statistical analysis, enabling students to understand complex datasets and identify patterns more efficiently. Students could also use AI-driven literature review tools to streamline their research process, helping them understand how to select and synthesize relevant studies. Additionally, AI writing assistants can aid in teaching students how to draft clear and cohesive research manuscripts and improving their academic writing skills. As part of their training, students should also be taught about the ethical considerations related to the use of AI, including data privacy, bias, and the importance of human oversight. By doing so, nursing educators can equip students with both the practical skills and ethical awareness necessary to navigate the evolving landscape of nursing research in the AI era. Ultimately, the growing ubiquity of AI in research writing is an innovation that cannot be ignored. As researchers and educators in the field of nursing, it is our responsibility to use these tools to their best advantage, and for the greater good. By teaching our trainees to effectively and ethically utilize these tools, we enable the next generation of researchers to contribute significantly to the progress of nursing science. In conclusion, AI offers considerable potential in enhancing scientific writing in nursing research. However, this comes with the understanding that the tools are just that—tools. Human intelligence, discernment, and integrity remain the driving force behind all scientific progress. Manuscript writing: Yasin M. Yasin and Areej AL-hamad. Critical revisions for important intellectual content: Yasin M. Yasin and Areej AL-hamad. The authors declare no conflicts of interest.","","Research in nursing & health","1","10.1002/nur.22326","https://consensus.app/papers/harnessing-ai-for-enhancing-scientific-writing-in-nursing-yasin-al-hamad/54b7ddfccf095f1e9fa07ccd59b3938c/"
"Natural-Language-Interfaced Robotic Synthesis for AI-Copilot-Assisted Exploration of Inorganic Materials.","AI-enhanced robotics can successfully synthesize 13 compounds across four distinct classes of inorganic materials, enabling material innovation and enhancing experimental reproducibility.","Lin Huang, Chao Zhang, Yun Fu, Yibin Jiang, Enyu He, Ming-Qiang Qi, Ming-Hao Du, Xiang‐Jian Kong, Jun Cheng, Leroy Cronin, Cheng Wang",2025,6,"The automation of chemical synthesis presents opportunities to enhance experimental reproducibility and accelerate discovery. Traditional closed-loop approaches, while effective in specific domains, are often constrained by rigid workflows and the requirement for specialized expertise. Here, we introduce a chemical robotic explorer integrated with an artificial intelligence (AI) copilot to enable a more flexible and adaptive synthesis, simplifying the process from inspiration to experimentation. This modular platform uses a large language model (LLM) to map natural language synthetic descriptions to executable unit operations, including temperature control, stirring, liquid and solid handling, filtration, etc. By integrating AI-driven literature searches, real-time experimental design, conversational human-AI interaction, and feedback-based optimization, we demonstrate the capabilities of AI in successfully synthesizing 13 compounds across four distinct classes of inorganic materials: coordination complexes, metal-organic frameworks, nanoparticles, and polyoxometalates. Notably, this approach enabled the discovery of a previously unreported family of Mn-W polyoxometalate clusters, showing the potential of AI-enhanced robotics as a generalizable and adaptable platform for material innovation.","","Journal of the American Chemical Society","1","10.1021/jacs.5c05916","https://consensus.app/papers/naturallanguageinterfaced-robotic-synthesis-for-huang-zhang/caa1a2af83215c5d9903dbcb80e99666/"
"Collaborative AI Enhances Image Understanding in Materials Science","Collaborative AI using ChatGPT and Gemini models significantly improves experimental accuracy and efficiency in materials science.","Ruoyan Avery Yin, Zhichu Ren, Zongyou Yin, Zhen Zhang, So Yeon Kim, Chia-Wei Hsu, Ju Li",2025,0,"The Copilot for Real-world Experimental Scientist (CRESt) system empowers researchers to control autonomous laboratories through conversational AI, providing a seamless interface for managing complex experimental workflows. We have enhanced CRESt by integrating a multi-agent collaboration mechanism that utilizes the complementary strengths of the ChatGPT and Gemini models for precise image analysis in materials science. This innovative approach significantly improves the accuracy of experimental outcomes by fostering structured debates between the AI models, which enhances decision-making processes in materials phase analysis. Additionally, to evaluate the generalizability of this approach, we tested it on a quantitative task of counting particles. Here, the collaboration between the AI models also led to improved results, demonstrating the versatility and robustness of this method. By harnessing this dual-AI framework, this approach stands as a pioneering method for enhancing experimental accuracy and efficiency in materials research, with applications extending beyond CRESt to broader scientific experimentation and analysis.","","ArXiv","","10.48550/arxiv.2503.13169","https://consensus.app/papers/collaborative-ai-enhances-image-understanding-in-yin-ren/b6f6da9bf04255c3b9f4372ece7c9a7b/"
"QSP‐Copilot: An AI‐Augmented Platform for Accelerating Quantitative Systems Pharmacology Model Development","QSP-Copilot reduces model development time by 40% and improves methodological transparency, enhancing scalability and impact in drug development for rare diseases.","Anuraag Saini, A. Farnoud",2025,2,"Quantitative Systems Pharmacology (QSP) is a powerful approach to provide decision-making support throughout the drug development process. QSP comes with many challenges in model development, validation, and applications. Traditional QSP workflows are limited by slow knowledge integration, labor-intensive model construction, inconsistent validation practices, and restricted scalability. In this work, we introduce QSP-Copilot, the first end-to-end AI-augmented solution designed to improve QSP modeling workflows by integrating a multi-agent system utilizing large language models (LLMs). QSP-Copilot provides modular support from project scoping and model structuring to model evaluation and reporting. Through the automation of routine tasks, QSP-Copilot reduces model development time by approximately 40% and improves methodological transparency through systematic documentation of literature sources and modeling assumptions. We demonstrate QSP-Copilot's application for two rare diseases of blood coagulation and Gaucher disease. In the blood coagulation case, automated extraction from ten peer-reviewed articles yielded 179 biological entity interaction pairs; out of these, only 105 unique mechanisms were retained after standardization. For Gaucher disease, screening nine articles produced 151 pairs, which were consolidated into 68 distinct biological interactions following the same post-processing workflow. The extraction precision for blood coagulation and Gaucher disease is 99.1% and 100.0%, respectively. QSP-Copilot extractions can be incorporated into effect diagrams with minimal expert filtering, significantly reducing the manual curation burden. The integration of AI-augmented workflows like QSP-Copilot represents a pivotal shift toward enhanced scalability and impact for QSP across the drug development pipelines, especially in disease areas where biological knowledge is sparse, such as rare diseases.","","CPT: Pharmacometrics & Systems Pharmacology","1","10.1002/psp4.70127","https://consensus.app/papers/qsp%E2%80%90copilot-an-ai%E2%80%90augmented-platform-for-accelerating-saini-farnoud/b40e475aba3654bb99f37c56a9601251/"
"Scientific discovery in the age of artificial intelligence","AI is accelerating scientific discovery by enhancing model accuracy and efficiency, but data quality and stewardship remain critical areas for AI innovation.","Hanchen Wang, Tianfan Fu, Yuanqi Du, Wenhao Gao, Kexin Huang, Ziming Liu, P. Chandak, Shengchao Liu, Peter Van Katwyk, Andreea Deac, Anima Anandkumar, K. Bergen, Carla P. Gomes, Shirley Ho, Pushmeet Kohli, Joan Lasenby, J. Leskovec, Tie-Yan Liu, A. Manrai, D. Marks, Bharath Ramsundar, Le Song, Jimeng Sun, Jian Tang, Petar Velickovic, Max Welling, Linfeng Zhang, Connor W. Coley, Y. Bengio, M. Zitnik",2023,1309,"Artificial intelligence (AI) is being increasingly integrated into scientific discovery to augment and accelerate research, helping scientists to generate hypotheses, design experiments, collect and interpret large datasets, and gain insights that might not have been possible using traditional scientific methods alone. Here we examine breakthroughs over the past decade that include self-supervised learning, which allows models to be trained on vast amounts of unlabelled data, and geometric deep learning, which leverages knowledge about the structure of scientific data to enhance model accuracy and efficiency. Generative AI methods can create designs, such as small-molecule drugs and proteins, by analysing diverse data modalities, including images and sequences. We discuss how these methods can help scientists throughout the scientific process and the central issues that remain despite such advances. Both developers and users of AI toolsneed a better understanding of when such approaches need improvement, and challenges posed by poor data quality and stewardship remain. These issues cut across scientific disciplines and require developing foundational algorithmic approaches that can contribute to scientific understanding or acquire it autonomously, making them critical areas of focus for AI innovation.","","Nature","1","10.1038/s41586-023-06221-2","https://consensus.app/papers/scientific-discovery-in-the-age-of-artificial-wang-fu/d09a5066b2bd573f882ecf976bbbcaea/"
"A multimodal generative AI copilot for human pathology","PathChat is a vision-language AI assistant for human pathology, providing accurate and pathologist-preferable responses to diverse diagnostic questions.","Ming Y. Lu, Bowen Chen, Drew F. K. Williamson, Richard J. Chen, Melissa Zhao, Aaron K Chow, Kenji Ikemura, Ahrong Kim, Dimitra Pouli, Ankush U Patel, Amr Soliman, Chengkuan Chen, Tong Ding, Judy J. Wang, Georg K. Gerber, Ivy Liang, L. Le, Anil V. Parwani, Luca L. Weishaupt, Faisal Mahmood",2024,320,"Computational pathologyhas witnessed considerable progress in the development of both task-specific predictive models and task-agnostic self-supervised vision encoders. However, despite the explosive growth of generative artificial intelligence (AI), there have been few studies on building general-purpose multimodal AI assistants and copilotstailored to pathology. Here we present PathChat, a vision-language generalist AI assistant for human pathology. We built PathChat by adapting a foundational vision encoder for pathology, combining it with a pretrained large language model and fine-tuning the whole system on over 456,000 diverse visual-language instructions consisting of 999,202 question and answer turns. We compare PathChat with several multimodal vision-language AI assistants and GPT-4V, which powers the commercially available multimodal general-purpose AI assistant ChatGPT-4 (ref.). PathChat achieved state-of-the-art performance on multiple-choice diagnostic questions from cases with diverse tissue origins and disease models. Furthermore, using open-ended questions and human expert evaluation, we found that overall PathChat produced more accurate and pathologist-preferable responses to diverse queries related to pathology. As an interactive vision-language AI copilot that can flexibly handle both visual and natural language inputs, PathChat may potentially find impactful applications in pathology education, research and human-in-the-loop clinical decision-making.","","Nature","1","10.1038/s41586-024-07618-3","https://consensus.app/papers/a-multimodal-generative-ai-copilot-for-human-pathology-lu-chen/eb6c0fd33e5b5dc4a5a626e2a47eb0f7/"
"Transforming the synthesis of carbon nanotubes with machine learning models and automation","Carbon Copilot (CARCO) combines machine learning models and automation to accelerate carbon nanotube synthesis, achieving 56.25% precision and advancing nanomaterials research within 43 days.","Yue Li, Shurui Wang, Zhou Lv, Zhaoji Wang, Yunbiao Zhao, Ying Xie, Yang Xu, Liu Qian, Yaodong Yang, Ziqiang Zhao, Jin Zhang",2024,27,"","","Matter","1","10.1016/j.matt.2024.11.007","https://consensus.app/papers/transforming-the-synthesis-of-carbon-nanotubes-with-li-wang/1e9ea5e6823c5a62b53f5be641541dac/"
